longitude,latitude,address
118.14568,34.678295,"775 W AVENUE J12 ,LANCASTER,CA,93534"
118.58158,34.279682,"20600 LUGANO WAY ,NORTHRIDGE,CA,91326"
117.77996,33.758087,"1992 LA CUESTA DR ,SANTA ANA,CA,92705"
117.13932,33.233265,"FAIRWAY HILL CIR ,VALLEY CENTER,CA,92082"
119.63988,36.321178,"326 E 1ST ST ,HANFORD,CA,93230"
117.76059,34.105137,"2935 N WHITE AVE 3,LA VERNE,CA,91750"
121.84248,37.246624,"5774 CHESBRO AVE ,SAN JOSE,CA,95123"
118.99776,35.359371,"624 E 3RD ST ,BAKERSFIELD,CA,93307"
117.12482,33.143654,"555 BUTTERWOOD AVE ,SAN MARCOS,CA,92069"
117.16683,32.730869,"2454 BRANT ST ,SAN DIEGO,CA,92101"
116.89614,33.749779,"43842 NATHAN DR ,HEMET,CA,92544"
117.04333,33.148811,"2621 ALBRIGHT PL ,ESCONDIDO,CA,92027"
117.75343,33.846176,"7309 E SINGINGWOOD DR ,ANAHEIM,CA,92808"
117.81175,33.662109,"77 WILLOW TREE LN ,IRVINE,CA,92612"
124.1731,40.766472,"4551 KINCAID CT ,EUREKA,CA,95503"
117.24398,32.995792,"105 TOLUCA CT ,SOLANA BEACH,CA,92075"
117.26257,33.024616,"1864 CREST DR ,ENCINITAS,CA,92024"
118.30151,34.080353,"514 N ARDMORE AVE ,LOS ANGELES,CA,90004"
119.30145,34.289238,"185 W SIMPSON ST ,VENTURA,CA,93001"
118.46362,34.238197,"15243 KNAPP ST ,NORTH HILLS,CA,91343"
120.84223,37.777313,"1225 DAVID DR ,OAKDALE,CA,95361"
121.34468,38.698544,"7161 FLANDERS WAY ,SACRAMENTO,CA,95842"
121.43726,37.699787,"847 SAGEWOOD LN ,TRACY,CA,95377"
117.73282,33.856995,"960 S FLINTRIDGE WAY ,ANAHEIM,CA,92808"
117.82095,33.747955,"331 PROSPECT PARK ,TUSTIN,CA,92780"
117.02619,32.801884,"7855 COWLES MOUNTAIN CT ,SAN DIEGO,CA,92119"
118.7844,34.258263,"1038 WILLIAM CT ,SIMI VALLEY,CA,93065"
119.73058,36.911613,"2884 E SILAXO RD ,CLOVIS,CA,93619"
117.31509,34.476784,"12425 SHAMROCK AVE ,VICTORVILLE,CA,92395"
116.89133,32.776798,"1299 BUTTONBRUSH LN ,EL CAJON,CA,92019"
121.19955,37.784515,"1228 VAN RYN AVE ,MANTECA,CA,95337"
117.05795,33.032558,"12575 OAKS NORTH DR 120,SAN DIEGO,CA,92128"
118.36129,33.790516,"4633 MARLOMA DR ,ROLLING HILLS ESTATES,CA,90274"
122.76125,39.039383,"7983 RICHARD DR ,LUCERNE,CA,95458"
117.80542,33.710587,"2882 DOW AVE ,TUSTIN,CA,92780"
121.36838,39.226646,"9163 BYRON WAY ,BROWNS VALLEY,CA,95918"
121.23981,38.679134,"6235 ALMOND AVE ,ORANGEVALE,CA,95662"
118.09222,34.165356,"2783 HERITAGE DR ,PASADENA,CA,91107"
116.97372,32.873276,"10270 PRINCESS JOANN RD ,SANTEE,CA,92071"
121.74438,37.910568,"2616 CAMEL BACK RD ,BRENTWOOD,CA,94513"
117.74543,33.606804,"3323 VIA CARRIZO C,LAGUNA WOODS,CA,92637"
116.99074,33.940231,"1194 GAINESWAY CIR ,BEAUMONT,CA,92223"
121.3555,38.639366,"4654 PASADENA AVE ,SACRAMENTO,CA,95821"
121.35656,38.452251,"8409 ALAMEDA PARK DR ,ELK GROVE,CA,95624"
121.3119,38.141739,"639 EVERGREEN DR ,LODI,CA,95242"
121.35126,38.026646,"8438 SARATOGA WAY ,STOCKTON,CA,95209"
119.14881,34.175705,"2600 EL DORADO AVE B,OXNARD,CA,93033"
122.62263,41.660076,"3417 DEER MEADOWS RD ,YREKA,CA,96097"
122.64078,38.266884,"808 CHARDONNAY CIR ,PETALUMA,CA,94954"
117.24472,33.835884,"3468 WEBSTER AVE 2,PERRIS,CA,92571"
122.17836,39.917381,"4144 KIRKWOOD RD ,CORNING,CA,96021"
121.90457,37.2379,"5486 AMBY DR ,SAN JOSE,CA,95124"
120.42893,34.868855,"613 PATTERSON RD ,SANTA MARIA,CA,93455"
117.32079,34.452381,"11095 11TH AVE ,HESPERIA,CA,92345"
121.82929,37.289211,"3461 SENTER RD ,SAN JOSE,CA,95111"
122.55209,37.959404,"31 ROSS TER ,KENTFIELD,CA,94904"
117.30587,33.100964,"7131 LANTANA TER ,CARLSBAD,CA,92011"
120.82851,38.161434,"2637 SILVERADO DR ,VALLEY SPRINGS,CA,95252"
118.13285,33.787045,"5137 E EL ROBLE ST ,LONG BEACH,CA,90815"
118.24285,34.234833,"2932 ORANGE AVE ,LA CRESCENTA,CA,91214"
121.31819,38.676701,"6354 OAKCREEK WAY ,CITRUS HEIGHTS,CA,95621"
122.1937,39.923191,"2116 BLOSSOM AVE ,CORNING,CA,96021"
116.74673,32.831814,"3093 ALPINE BLVD ,ALPINE,CA,91901"
117.14474,33.496429,"28208 TIERRA VISTA RD ,TEMECULA,CA,92592"
117.82583,33.901222,"4162 DENVER AVE ,YORBA LINDA,CA,92886"
119.27116,36.346889,"2016 E WOODSVILLE CT ,VISALIA,CA,93292"
121.98696,36.97496,"1546 PESCE WAY ,SANTA CRUZ,CA,95062"
122.05816,37.565708,"34115 WEBFOOT LOOP ,FREMONT,CA,94555"
117.47652,33.764748,"10474 WHITECROWN CIR ,CORONA,CA,92883"
118.2617,34.107136,"2724 LOCKSLEY PL ,LOS ANGELES,CA,90039"
122.13935,37.438923,"1945 BYRON ST ,PALO ALTO,CA,94301"
118.48466,34.442913,"19910 CHRISTOPHER LN ,SANTA CLARITA,CA,91350"
122.31709,40.501793,"19952 LOAFER WAY ,REDDING,CA,96002"
121.26588,37.93198,"1502 SPRING ST ,STOCKTON,CA,95206"
121.31219,38.680035,"6217 LOUTH WAY ,CITRUS HEIGHTS,CA,95621"
118.05914,34.011593,"9975 SPRINGLAND DR ,WHITTIER,CA,90601"
122.20186,37.43457,"2000 ASHTON AVE ,MENLO PARK,CA,94025"
117.12031,33.606232,"35457 SUMMERHOLLY LN ,MURRIETA,CA,92563"
121.61156,36.702332,"1691 MILTON WAY ,SALINAS,CA,93906"
118.63035,34.473763,"28450 KNOLL CT ,CASTAIC,CA,91384"
121.8647,37.335201,"737 S 22ND ST ,SAN JOSE,CA,95116"
122.44176,37.463699,"216 MIRAMONTES AVE ,HALF MOON BAY,CA,94019"
119.04836,35.356094,"117 N STINE RD ,BAKERSFIELD,CA,93309"
118.39425,34.043434,"2209 GUTHRIE CIR ,LOS ANGELES,CA,90034"
117.50349,34.113914,"13672 CABRILLO CT ,FONTANA,CA,92336"
117.12856,34.066555,"31054 NICE AVE ,MENTONE,CA,92359"
118.14983,34.592491,"39063 JUNIPER TREE RD ,PALMDALE,CA,93551"
121.54147,38.428505,"52210 WILLOW POINT RD ,CLARKSBURG,CA,95612"
118.36832,33.871086,"2409 CARNEGIE LN A,REDONDO BEACH,CA,90278"
118.1243,34.066509,"428 BALTIMORE AVE ,MONTEREY PARK,CA,91754"
118.3866,33.887234,"1534 MANHATTAN BEACH BLVD D,MANHATTAN BEACH,CA,90266"
117.94907,33.715122,"17060 SAN BRUNO ST 43,FOUNTAIN VALLEY,CA,92708"
