longitude,latitude,address,n
119.9783,38.23563,"33915 LELAND MEADOW RD ,STRAWBERRY,CA,95375",1
119.97752,38.234703,"33966 LELAND MEADOW RD ,STRAWBERRY,CA,95375",2
120.13843,38.087181,"25686 UPPER SCENIC DR ,,CA,95212",3
120.16924,38.077599,"25120 STATE HIGHWAY 108 ,MI WUK VILLAGE,CA,95346",4
120.1727,38.073524,"21173 LODESTONE AVE ,,CA,95346",5
120.41635,37.99334,"20445 SUNNY RIDGE LN ,SONORA,CA,95370",6
120.40732,37.98391,"19970 ROUGH AND READY TRL ,SONORA,CA,95370",7
120.4115,37.982452,"19831 ROUGH AND READY TRL ,SONORA,CA,95370",8
120.40759,37.981644,"19907 ROUGH AND READY TRL ,SONORA,CA,95370",9
120.40833,37.980976,"19889 PANORAMA PL S ,SONORA,CA,95370",10
120.43241,37.97757,"19589 PEPPERMINT FALLS RD ,JAMESTOWN,CA,95327",11
120.40479,37.990932,"11065 RACETRACK RD ,SONORA,CA,95370",12
120.40345,37.989887,"11070 HARRISON DR ,SONORA,CA,95370",13
120.40313,37.989075,"11037 HARRISON DR ,SONORA,CA,95370",14
120.40283,37.98922,"11034 HARRISON DR ,SONORA,CA,95370",15
120.4017,37.987961,"20135 LELAND DR ,SONORA,CA,95370",16
120.40257,37.987247,"20112 SHAWNEE DR ,SONORA,CA,95370",17
120.4293,38.001732,"9996 HIGHWAY 49 ,SONORA,CA,95370",18
120.40314,37.985241,"20045 GIBBS DR ,SONORA,CA,95370",19
120.40125,37.985405,"11175 REDBUD RD ,SONORA,CA,95370",20
120.40124,37.991394,"11209 RACETRACK RD ,SONORA,CA,95370",21
120.4016,37.990837,"11226 COOPERS CT ,SONORA,CA,95370",22
120.43323,37.975941,"19477 PEPPERMINT FALLS RD ,JAMESTOWN,CA,95327",23
120.40364,37.982681,"19849 VILLA DR ,SONORA,CA,95370",24
120.42779,37.942562,"17600 ROLLING HILLS BLVD ,JAMESTOWN,CA,95327",25
120.42714,37.942474,"10060 FALLEN LEAF DR ,JAMESTOWN,CA,95327",26
120.42551,37.942627,"10161 FALLEN LEAF DR ,JAMESTOWN,CA,95327",27
120.37489,37.855312,"12784 JACKSONVILLE RD ,JAMESTOWN,CA,95327",28
