address,lat,long,hoursOfUsableSunlightPerYear,sqFeetAvailableForSolarPanels,recommendedSolarInstallationSizeInKW,recommendedSolarInstallationSizeInSqFt
"1000 NORTH POINT ST 1102,SAN FRANCISCO,CA,94109",37.805428,122.42368,1761,1427,3.8,264.0
"13302 GARDEN BAR RD ,GRASS VALLEY,CA,95949",39.059158,121.14409,,,,
"19221 SHERMAN WAY 16,RESEDA,CA,91335",34.201118,118.55178,2001,8069,2.8,194.0
"706 CASTLE ST ,MODESTO,CA,95350",37.653679,120.9828,1652,1550,4.0,282.0
"6023 TUPELO DR ,CITRUS HEIGHTS,CA,95621",38.699047,121.32305,1779,2044,3.0,211.0
"3100 ELKHORN BLVD ,NORTH HIGHLANDS,CA,95660",38.690331,121.39459,1868,6572,2.8,194.0
"14038 LEMON VALLEY AVE ,CORONA,CA,92880",33.957092,117.5892,2000,1779,4.3,300.0
"1767 W 37TH DR ,LOS ANGELES,CA,90018",34.019482,118.31091,1917,1392,3.0,211.0
"14421 NAVAJO WAY ,MANTECA,CA,95336",37.832153,121.2165,1915,1392,2.8,194.0
"150 ALLEN AVE ,GLENDALE,CA,91201",34.161751,118.30616,1937,5462,2.8,194.0
"19231 SHERMAN WAY 42,RESEDA,CA,91335",34.201118,118.55201,2001,8069,2.8,194.0
"240 HILLCREST CT ,PLEASANT HILL,CA,94523",37.956726,122.07835,1889,4440,2.8,194.0
"51424 HWY 395 ,MAMMOTH LAKES,CA,93546",37.95723,119.11921,,,,
"5231 N ENID AVE ,AZUSA,CA,91702",34.107742,117.91436,1777,2026,4.8,335.0
"3900 MADRONA AVE ,BAKERSFIELD,CA,93307",35.243519,118.96082,,,,
"820 W 61ST ST ,LOS ANGELES,CA,90044",33.984489,118.28747,1956,1004,2.8,194.0
"7887 LAMPSON AVE 84,GARDEN GROVE,CA,92841",33.781231,117.99439,1816,916,3.3,229.0
"1550 TESORO DR ,MANTECA,CA,95337",37.777634,121.19175,1882,1903,2.8,194.0
"11460 14TH AVE ,ARMONA,CA,93202",36.306343,119.7093,1933,1110,3.3,229.0
